key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_15.keys,key_resp_15.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,base_sentence_number,version,experiment,list,numb_words,gender,sentence,question,answer,CorrAns,w1,w2,w3,w4,w5,w6,w7,w8,w9,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_16.keys,key_resp_16.rt,word1.keys,word1.rt,word2.keys,word2.rt,word3.keys,word3.rt,word4.keys,word4.rt,word5.keys,word5.rt,word6.keys,word6.rt,word7.keys,word7.rt,word8.keys,word8.rt,word9.keys,word9.rt,compquestion.keys,compquestion.corr,compquestion.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,endoftask.keys,endoftask.rt
space,13.8862,y,1.3017,space,0.97,space,0.3839,space,0.3575,space,0.439,space,0.432,space,0.3855,space,0.4993,space,0.3177,space,0.3244,n,2.0256,0,0,0,0,1,NA,NA,practica,NA,NA,NA,Rita is uncomfortable because it is very hot outside.,Is it cold?,no,0,Rita,is,uncomfortable,because,it,is,very,hot,outside.,L2SPAN_2023_68,001,2023-09-17_19h31.50.100,spr_english_2023_list2,2021.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.6976,space,0.3786,space,0.3342,space,0.3352,space,0.3385,space,0.3014,space,0.3209,space,0.2965,space,0.6915,n,1.2698,0,1,1,1,1,NA,NA,practica,NA,NA,NA,Peter was running by himself in the park yesterday.,Was Peter painting the wall?,no,0,Peter,was,running,by,himself,in,the,park,yesterday.,L2SPAN_2023_68,001,2023-09-17_19h31.50.100,spr_english_2023_list2,2021.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.3835,space,0.2987,space,0.2513,space,0.401,space,0.735,space,0.3692,space,0.3148,space,0.333,space,0.3187,y,1.3975,0,2,2,2,1,NA,NA,practica,NA,NA,NA,Hannah is watching tv because she is really bored.,Is Hannah in front of a screen?,yes,1,Hannah,is,watching,tv,because,she,is,really,bored.,L2SPAN_2023_68,001,2023-09-17_19h31.50.100,spr_english_2023_list2,2021.1.1,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1_2,neutral_gender_someone,2,9,neutral,Someone called me but they stopped before I answered,Did the person try to communicate?,yes,1,Someone,called,me,but,they,stopped,before,I,answered.,L2SPAN_2023_68,001,2023-09-17_19h31.50.100,spr_english_2023_list2,2021.1.1,MacIntel,60.0024001,space,14.6854,space,0.8844,space,0.3436,space,0.2834,space,0.3265,space,0.3313,space,0.2936,space,0.2985,space,0.3048,space,0.3171,y,0,2.3407,0,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34_1,inclusive_gender_they,2,9,she,Mary is sad because she lost the dog earlier.,Did mary lose something?,no,0,Mary,is,sad,because,she,lost,the,dog,earlier.,L2SPAN_2023_68,001,2023-09-17_19h31.50.100,spr_english_2023_list2,2021.1.1,MacIntel,60.0024001,,,space,0.5524,space,0.2209,space,0.2014,space,0.2544,space,0.2025,space,0.2695,space,0.3422,space,0.2658,space,0.3735,y,0,1.5464,0,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31_1,inclusive_gender_reflexive,2,9,himself,Troy was singing by himself in the shower yesterday.,Was Troy singing?,yes,1,Troy,was,singing,by,himself,in,the,shower,yesterday.,L2SPAN_2023_68,001,2023-09-17_19h31.50.100,spr_english_2023_list2,2021.1.1,MacIntel,60.0024001,,,space,0.7141,space,0.2081,space,0.2,space,0.1842,space,0.2071,space,0.2179,space,0.2175,space,0.2511,space,0.3666,y,0,1.263,0,2,2,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37_2,inclusive_gender_they,2,9,they,Emily is grateful because they got nice gifts yesterday.,Did Emily get presents?,yes,1,Emily,is,grateful,because,they,got,nice,gifts,yesterday.,L2SPAN_2023_68,001,2023-09-17_19h31.50.100,spr_english_2023_list2,2021.1.1,MacIntel,60.0024001,,,space,0.6844,space,0.2333,space,0.1919,space,0.1837,space,0.1852,space,0.1867,space,0.202,space,0.1935,space,0.5701,y,0,2.4798,0,3,3,3,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,NA,filler,1and2,9,NA,The aroma of freshly brewed coffee filled the room.,Was the smell nice?,,1,The,aroma,of,freshly,brewed,coffee,filled,the,room.,L2SPAN_2023_68,001,2023-09-17_19h31.50.100,spr_english_2023_list2,2021.1.1,MacIntel,60.0024001,,,space,0.6342,space,0.1754,space,0.1851,space,0.166,space,0.1528,space,0.1854,space,0.1695,space,0.2328,space,0.2198,y,0,1.3158,0,4,4,4,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30_2,inclusive_gender_reflexive,2,9,themself,Scott was drinking by themself at the bar earlier.,Was Scott at his apartment?,no,0,Scott,was,drinking,by,themself,at,the,bar,earlier.,L2SPAN_2023_68,001,2023-09-17_19h31.50.100,spr_english_2023_list2,2021.1.1,MacIntel,60.0024001,,,space,2.3204,space,0.1831,space,0.2415,space,0.2216,space,0.266,space,0.2366,space,0.603,space,0.3033,space,0.412,n,0,1.6805,0,5,5,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14_1,neutral_gender_someone,2,9,masculine,Someone photographed me but he quit before I spoke.,Did someone take pictures?,yes,0,Someone,photographed,me,but,he,quit,before,I,spoke.,L2SPAN_2023_68,001,2023-09-17_19h31.50.100,spr_english_2023_list2,2021.1.1,MacIntel,60.0024001,,,space,0.4643,space,0.2014,space,0.1865,space,0.1955,space,0.1542,space,0.189,space,0.3524,space,0.2399,space,0.3316,y,0,1.3265,0,6,6,6,1,,
