key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_15.keys,key_resp_15.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,base_sentence_number,version,experiment,list,numb_words,gender,sentence,question,answer,CorrAns,w1,w2,w3,w4,w5,w6,w7,w8,w9,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_16.keys,key_resp_16.rt,word1.keys,word1.rt,word2.keys,word2.rt,word3.keys,word3.rt,word4.keys,word4.rt,word5.keys,word5.rt,word6.keys,word6.rt,word7.keys,word7.rt,word8.keys,word8.rt,word9.keys,word9.rt,compquestion.keys,compquestion.corr,compquestion.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,endoftask.keys,endoftask.rt
space,4.0167,y,0.4985,space,5.1094,space,1.3316,space,1.329,space,0.5973,space,0.4215,space,0.5891,space,0.5159,space,0.4893,space,0.5835,n,4.3899,0,0,0,0,1,NA,NA,practica,NA,NA,NA,Rita is uncomfortable because it is very hot outside.,Is it cold?,no,0,Rita,is,uncomfortable,because,it,is,very,hot,outside.,ADV_EN_26,001,2023-09-06_12h34.22.431,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.061,space,0.4727,space,0.3627,space,0.7733,space,1.1417,space,0.4258,space,0.3974,space,0.4024,space,0.4875,n,2.6004,0,1,1,1,1,NA,NA,practica,NA,NA,NA,Peter was running by himself in the park yesterday.,Was Peter painting the wall?,no,0,Peter,was,running,by,himself,in,the,park,yesterday.,ADV_EN_26,001,2023-09-06_12h34.22.431,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.3354,space,0.7576,space,0.3741,space,0.3617,space,0.5262,space,0.8144,space,0.4434,space,0.4322,space,0.4788,y,5.6075,0,2,2,2,1,NA,NA,practica,NA,NA,NA,Hannah is watching tv because she is really bored.,Is Hannah in front of a screen?,yes,1,Hannah,is,watching,tv,because,she,is,really,bored.,ADV_EN_26,001,2023-09-06_12h34.22.431,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1_1,neutral_gender_someone,1,9,masculine,Someone called me but he stopped before I answered,Did the person try to communicate?,yes,1,Someone,called,me,but,he,stopped,before,I,answered.,ADV_EN_26,001,2023-09-06_12h34.22.431,spr_english_2023_list1,2021.1.1,Win32,60.0024001,space,6.079,space,1.0846,space,0.562,space,0.4313,space,0.7658,space,1.0689,space,0.554,space,1.145,space,0.5541,space,1.2445,y,0,17.8128,0,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21_2,inclusive_gender_reflexive,1,9,themself,Jack was cooking by themself in the kitchen yesterday.,Was Jack in the kitchen?,yes,1,Jack,was,cooking,by,themself,in,the,kitchen,yesterday.,ADV_EN_26,001,2023-09-06_12h34.22.431,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.7277,space,0.5975,space,0.9085,space,0.4112,space,0.4548,space,0.8736,space,0.4076,space,0.441,space,0.4736,y,0,2.412,0,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,NA,filler,1and2,9,NA,The aroma of freshly brewed coffee filled the room.,Was the smell nice?,,1,The,aroma,of,freshly,brewed,coffee,filled,the,room.,ADV_EN_26,001,2023-09-06_12h34.22.431,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.4355,space,0.7164,space,0.4096,space,2.2072,space,1.0987,space,0.9642,space,1.8561,space,0.4319,space,0.6376,y,0,9.669,0,2,2,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22_1,inclusive_gender_reflexive,1,9,himself,Max was painting by himself in the studio earlier.,Was Max watching tv?,no,0,Max,was,painting,by,himself,in,the,studio,earlier.,ADV_EN_26,001,2023-09-06_12h34.22.431,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,1.3486,space,0.3741,space,0.5375,space,0.6491,space,1.159,space,0.3853,space,0.3391,space,0.5467,space,0.6091,n,0,5.3443,0,3,3,3,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33_1,inclusive_gender_they,1,9,she,Sara is happy because she found new friends yesterday.,Is Sara in a good mood?,yes,1,Sara,is,happy,because,she,found,new,friends,yesterday.,ADV_EN_26,001,2023-09-06_12h34.22.431,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.8247,space,0.3873,space,0.3222,space,0.3374,space,0.415,space,0.4253,space,1.2819,space,0.4559,space,0.5315,y,0,3.649,0,4,4,4,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31_2,inclusive_gender_reflexive,1,9,themself,Troy was singing by themself in the shower yesterday.,Was Troy singing?,yes,1,Troy,was,singing,by,themself,in,the,shower,yesterday.,ADV_EN_26,001,2023-09-06_12h34.22.431,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.5224,space,1.363,space,0.8214,space,0.8369,space,0.5434,space,0.4144,space,0.3646,space,0.4645,space,0.4915,y,0,1.4365,0,5,5,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,NA,filler,1and2,9,NA,"Soft raindrops tapped gently, creating a rhythmic melody outside.",Was it a sunny day?,,0,Soft,raindrops,tapped,"gently,",creating,a,rhythmic,melody,outside.,ADV_EN_26,001,2023-09-06_12h34.22.431,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.4814,space,2.5692,space,0.4737,space,0.6403,space,0.7938,space,0.3971,space,0.6875,space,0.6556,space,0.4842,n,0,1.5748,0,6,6,6,1,,
