key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_15.keys,key_resp_15.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,base_sentence_number,version,experiment,list,numb_words,gender,sentence,question,answer,CorrAns,w1,w2,w3,w4,w5,w6,w7,w8,w9,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_16.keys,key_resp_16.rt,word1.keys,word1.rt,word2.keys,word2.rt,word3.keys,word3.rt,word4.keys,word4.rt,word5.keys,word5.rt,word6.keys,word6.rt,word7.keys,word7.rt,word8.keys,word8.rt,word9.keys,word9.rt,compquestion.keys,compquestion.corr,compquestion.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,endoftask.keys,endoftask.rt
space,17.9831,y,1.4436,space,1.8469,space,0.5895,space,11.1362,space,0.7878,space,0.5726,space,0.7249,space,0.7247,space,0.8904,space,0.876,n,2.88,0,0,0,0,1,NA,NA,practica,NA,NA,NA,Rita is uncomfortable because it is very hot outside.,Is it cold?,no,0,Rita,is,uncomfortable,because,it,is,very,hot,outside.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.8591,space,0.6701,space,0.7736,space,1.2936,space,4.4072,space,0.8233,space,0.8223,space,1.1051,space,0.9886,n,7.3214,0,1,1,1,1,NA,NA,practica,NA,NA,NA,Peter was running by himself in the park yesterday.,Was Peter painting the wall?,no,0,Peter,was,running,by,himself,in,the,park,yesterday.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.9089,space,0.5395,space,0.7884,space,0.5396,space,0.5218,space,0.4724,space,0.4729,space,0.5562,space,0.9454,y,8.1071,0,2,2,2,1,NA,NA,practica,NA,NA,NA,Hannah is watching tv because she is really bored.,Is Hannah in front of a screen?,yes,1,Hannah,is,watching,tv,because,she,is,really,bored.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1_1,neutral_gender_someone,1,9,masculine,Someone called me but he stopped before I answered,Did the person try to communicate?,yes,1,Someone,called,me,but,he,stopped,before,I,answered.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,space,13.2442,space,5.6257,space,0.6905,space,0.6056,space,0.6896,space,0.5718,space,0.5716,space,0.5932,space,0.9938,space,2.3669,y,0,8.4075,0,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21_2,inclusive_gender_reflexive,1,9,themself,Jack was cooking by themself in the kitchen yesterday.,Was Jack in the kitchen?,yes,1,Jack,was,cooking,by,themself,in,the,kitchen,yesterday.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,4.2205,space,0.6061,space,0.6377,space,3.7612,space,2.2063,space,0.826,space,0.725,space,0.9385,space,1.7735,y,0,3.0165,0,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,NA,filler,1and2,9,NA,The aroma of freshly brewed coffee filled the room.,Was the smell nice?,,1,The,aroma,of,freshly,brewed,coffee,filled,the,room.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,1.1558,space,0.9564,space,0.5779,space,1.1562,space,1.09,space,1.3764,space,0.8887,space,0.6221,space,1.3064,y,0,2.0056,0,2,2,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22_1,inclusive_gender_reflexive,1,9,himself,Max was painting by himself in the studio earlier.,Was Max watching tv?,no,0,Max,was,painting,by,himself,in,the,studio,earlier.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,1.2719,space,0.4565,space,1.743,space,1.1057,space,0.7781,space,0.7055,space,0.5725,space,1.8556,space,1.1572,n,0,1.4613,0,3,3,3,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33_1,inclusive_gender_they,1,9,she,Sara is happy because she found new friends yesterday.,Is Sara in a good mood?,yes,1,Sara,is,happy,because,she,found,new,friends,yesterday.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.8874,space,0.9049,space,0.5897,space,0.7395,space,0.8369,space,0.5417,space,0.6106,space,0.623,space,1.1392,y,0,1.7057,0,4,4,4,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31_2,inclusive_gender_reflexive,1,9,themself,Troy was singing by themself in the shower yesterday.,Was Troy singing?,yes,1,Troy,was,singing,by,themself,in,the,shower,yesterday.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,1.0413,space,0.5402,space,0.7411,space,0.4404,space,0.5732,space,0.7725,space,0.5073,space,0.7897,space,0.5943,y,0,1.6588,0,5,5,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,NA,filler,1and2,9,NA,"Soft raindrops tapped gently, creating a rhythmic melody outside.",Was it a sunny day?,,0,Soft,raindrops,tapped,"gently,",creating,a,rhythmic,melody,outside.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,1.0334,space,0.8038,space,0.9282,space,0.5763,space,0.6391,space,0.6394,space,0.8561,space,0.8226,space,4.0258,n,0,2.0893,0,6,6,6,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34_2,inclusive_gender_they,1,9,they,Mary is sad because they lost the dog earlier.,Did mary lose something?,no,0,Mary,is,sad,because,they,lost,the,dog,earlier.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,1.2568,space,0.545,space,0.6895,space,1.1256,space,2.0075,space,0.6389,space,0.8114,space,0.7548,space,0.625,y,0,1.8717,0,7,7,7,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10_2,neutral_gender_someone,1,9,neutral,Someone shushed me but they stopped before I noticed.,Was the person happy to hear a voice?,no,0,Someone,shushed,me,but,they,stopped,before,I,noticed.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,1.0462,space,1.172,space,0.6777,space,0.5887,space,0.709,space,0.7082,space,1.0389,space,0.5564,space,0.9569,n,0,2.9226,0,8,8,8,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,NA,filler,1and2,9,NA,"They went on an exciting trip, embracing their destiny.",Did they stay home?,,0,They,went,on,an,exciting,"trip,",embracing,their,destiny.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,1.0889,space,0.6218,space,0.9962,space,0.5922,space,0.6426,space,0.4925,space,1.1789,space,0.6759,space,1.0806,n,0,3.0426,0,9,9,9,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23_2,inclusive_gender_reflexive,1,9,themself,Ben was dancing by themself in the kitchen yesterday.,Was Ben in the kitchen?,yes,1,Ben,was,dancing,by,themself,in,the,kitchen,yesterday.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.8212,space,0.6724,space,1.509,space,0.7306,space,2.2517,space,0.6888,space,0.5973,space,0.6318,space,1.1125,y,0,2.1058,0,10,10,10,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9_1,neutral_gender_someone,1,9,masculine,Someone helped me but he left before I finished.,Did the person offer some help?,yes,1,Someone,helped,me,but,he,left,before,I,finished.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,2.5265,space,0.6464,space,0.789,space,0.7742,space,0.9239,space,0.6679,space,0.8075,space,0.9908,space,2.8909,y,0,46.9649,0,11,11,11,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12_2,neutral_gender_someone,1,9,neutral,Someone scared me and they ran after I screamed.,Did the person write a note?,no,0,Someone,scared,me,and,they,ran,after,I,screamed.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,51.7401,space,0.9661,space,0.5686,space,0.8232,space,0.524,space,1.7113,space,0.5825,space,0.5557,space,1.8594,n,0,1.746,0,12,12,12,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,NA,filler,1and2,9,NA,"He smiled warmly, extending a hand in friendly greeting.",Did someone fall?,,0,He,smiled,"warmly,",extending,a,hand,in,friendly,greeting.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.4338,space,0.705,space,0.912,space,1.6583,space,0.4588,space,0.7572,space,1.2228,space,0.9894,space,0.7265,n,0,1.1216,0,13,13,13,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36_2,inclusive_gender_they,1,9,they,Helen is anxious because they dread the presentation earlier.,Did Helen's presentation go well?,no,0,Helen,is,anxious,because,they,dread,the,presentation,earlier.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.7564,space,0.4393,space,1.123,space,0.6452,space,0.8357,space,1.9347,space,0.7081,space,1.173,space,0.6064,n,0,4.4965,0,14,14,14,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16_2,neutral_gender_someone,1,9,neutral,Someone passed me and they sped before I noticed.,Was everybody going slow?,no,0,Someone,passed,me,and,they,sped,before,I,noticed.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.5608,space,2.5247,space,0.8048,space,0.7571,space,0.6371,space,0.7446,space,0.6839,space,0.6065,space,0.5755,n,0,8.707,0,15,15,15,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20_1,inclusive_gender_reflexive,1,9,himself,Mike was jogging by himself in the park earlier.,Was Mike sleeping?,no,0,Mike,was,jogging,by,himself,in,the,park,earlier.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.8765,space,0.5403,space,0.4062,space,0.6067,space,0.5568,space,0.5099,space,0.4091,space,0.4053,space,0.473,n,0,1.3655,0,16,16,16,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,NA,filler,1and2,9,NA,"She danced a lot, her movements resembling pure poetry.",Was it an unpleasant dance?,,0,She,danced,a,"lot,",her,movements,resembling,pure,poetry.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.8674,space,0.4206,space,0.7106,space,0.6752,space,0.5234,space,1.4087,space,1.0266,space,0.7401,space,0.9058,n,0,2.7077,0,17,17,17,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4_2,neutral_gender_someone,1,9,neutral,Someone punched me but they ran before I noticed.,Was everybody involved peaceful?,no,0,Someone,punched,me,but,they,ran,before,I,noticed.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.6331,space,1.3463,space,1.3219,space,1.3069,space,0.4103,space,0.7641,space,0.5228,space,0.4224,space,0.5084,n,0,3.5265,0,18,18,18,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7_1,neutral_gender_someone,1,9,masculine,Someone threatened me but he ran before I reacted.,Was there a threat?,yes,1,Someone,threatened,me,but,he,ran,before,I,reacted.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,15.8815,space,1.4079,space,0.5946,space,0.5128,space,0.923,space,0.6251,space,1.6946,space,0.5947,space,0.8564,y,0,2.0732,0,19,19,19,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19_2,inclusive_gender_reflexive,1,9,themself,James was studying by themself in the library yesterday.,Was James at the library?,yes,1,James,was,studying,by,themself,in,the,library,yesterday.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,2.1566,space,0.5383,space,1.0607,space,0.694,space,1.076,space,0.4373,space,0.439,space,0.5238,space,2.3098,y,0,1.5595,0,20,20,20,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11_1,neutral_gender_someone,1,9,masculine,Someone pushed me but he tripped after I fell.,Was there any sort of physical violence?,yes,1,Someone,pushed,me,but,he,tripped,after,I,fell.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.6506,space,0.666,space,0.5204,space,0.4176,space,0.7773,space,0.8727,space,0.9768,space,1.1468,space,2.2928,y,0,2.3518,0,21,21,21,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37_1,inclusive_gender_they,1,9,she,Emily is grateful because she got nice gifts yesterday.,Did Emily get presents?,yes,1,Emily,is,grateful,because,she,got,nice,gifts,yesterday.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.9097,space,0.5564,space,0.4554,space,0.5941,space,0.4043,space,0.5168,space,0.4745,space,0.4935,space,0.6721,y,0,1.4563,0,22,22,22,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32_1,inclusive_gender_reflexive,1,9,himself,Hugh was stretching by himself in the garden earlier.,Was Hugh in the attic?,no,0,Hugh,was,stretching,by,himself,in,the,garden,earlier.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.8592,space,0.588,space,1.9399,space,0.5584,space,0.8028,space,0.5953,space,0.4996,space,1.3208,space,0.7067,n,0,1.4867,0,23,23,23,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44_2,inclusive_gender_they,1,9,they,Alice is hopeful because they had good luck yesterday.,Is Alice sad?,no,0,Alice,is,hopeful,because,they,had,good,luck,yesterday.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.925,space,0.4231,space,0.4924,space,0.5723,space,0.4934,space,0.4728,space,0.4801,space,0.5387,space,0.4759,n,0,2.4568,0,24,24,24,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3_1,neutral_gender_someone,1,9,masculine,Someone hit me but he ran before I reacted,Was there physical violence?,yes,1,Someone,hit,me,but,he,ran,before,I,reacted.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,1.7902,space,0.4914,space,0.4924,space,0.4525,space,0.5139,space,0.709,space,0.4555,space,0.509,space,0.4883,n,0,4.2024,0,25,25,25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39_1,inclusive_gender_they,1,9,she,Judy is confused because she lost the map ealier.,Did Judy lose something?,yes,1,Judy,is,confused,because,she,lost,the,map,ealier.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,1.0245,space,0.6145,space,1.0282,space,1.0063,space,0.7552,space,0.5433,space,0.5286,space,1.5762,space,0.5059,y,0,1.4387,0,26,26,26,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18_1,inclusive_gender_reflexive,1,9,himself,Luke was reading by himself on the couch earlier.,Was Luke painting?,no,0,Luke,was,reading,by,himself,on,the,couch,earlier.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.5716,space,0.4762,space,0.5207,space,0.5391,space,0.432,space,0.4208,space,0.4579,space,0.4047,space,0.5733,n,0,1.4544,0,27,27,27,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14_2,neutral_gender_someone,1,9,neutral,Someone photographed me but they quit before I spoke.,Did someone take pictures?,yes,0,Someone,photographed,me,but,they,quit,before,I,spoke.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.4727,space,1.3267,space,0.5068,space,0.5583,space,0.4552,space,0.4717,space,1.2927,space,0.6091,space,2.5939,y,0,1.5884,0,28,28,28,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30_1,inclusive_gender_reflexive,1,9,himself,Scott was drinking by himself at the bar earlier.,Was Scott at his apartment?,no,0,Scott,was,drinking,by,himself,at,the,bar,earlier.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.7312,space,0.6046,space,0.5632,space,0.4108,space,0.5551,space,0.4389,space,0.6919,space,0.6612,space,0.4883,n,0,2.1205,0,29,29,29,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,NA,filler,1and2,9,NA,"Waves crashed against the shore, creating a soothing rhythm.",Was the rhythm violent?,,0,Waves,crashed,against,the,"shore,",creating,a,soothing,rhythm.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.4877,space,1.3437,space,0.6388,space,0.4078,space,0.4585,space,0.9379,space,0.4231,space,0.5281,space,0.7644,y,0,8.8045,0,30,30,30,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28_1,inclusive_gender_reflexive,1,9,himself,Tom was swimming by himself at the beach earlier.,Was Tom at the park?,no,0,Tom,was,swimming,by,himself,at,the,beach,earlier.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.5923,space,0.4891,space,0.7048,space,0.5225,space,0.5937,space,1.7943,space,0.5316,space,0.6485,space,1.1391,n,0,1.3491,0,31,31,31,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46_2,inclusive_gender_they,1,9,they,Kate is tipsy because they had two drinks earlier.,Is Kate sober?,no,0,Kate,is,tipsy,because,they,had,two,drinks,earlier.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.4069,space,0.4599,space,0.4046,space,0.5228,space,0.4406,space,0.4574,space,0.63,space,0.7387,space,0.5764,n,0,1.9747,0,32,32,32,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35_1,inclusive_gender_they,1,9,she,Susan is joyful because she won the lottery yesterday.,Is Susan in a good mood?,yes,1,Susan,is,joyful,because,she,won,the,lottery,yesterday.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.6049,space,0.3534,space,0.8245,space,0.473,space,0.4749,space,0.4074,space,0.5589,space,0.5268,space,0.4889,y,0,1.3219,0,33,33,33,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24_1,inclusive_gender_reflexive,1,9,himself,Jake was strolling by himself at the park earlier.,Was Jake swimming?,no,0,Jake,was,strolling,by,himself,at,the,park,earlier.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.4932,space,0.393,space,0.4071,space,0.491,space,0.4575,space,0.4424,space,0.4547,space,1.0246,space,0.5656,n,0,1.0733,0,34,34,34,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,NA,filler,1and2,9,NA,"I awaited eagerly, anticipating the arrival of the morning.",Was the person waiting for something?,,1,I,awaited,"eagerly,",anticipating,the,arrival,of,the,morning.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.3897,space,0.3767,space,0.6594,space,0.6397,space,0.6463,space,1.2906,space,0.7388,space,0.5565,space,0.6055,y,0,1.6514,0,35,35,35,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27_2,inclusive_gender_reflexive,1,9,themself,Paul was drawing by themself in the attic yesterday.,Was Paul drawing?,yes,1,Paul,was,drawing,by,themself,in,the,attic,yesterday.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,6.7116,space,0.4821,space,0.474,space,0.4756,space,0.4738,space,0.4884,space,0.4507,space,0.4265,space,0.6391,y,0,1.1056,0,36,36,36,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,NA,filler,1and2,9,NA,"The child's laughter echoed, bringing joy to the playground.",Was the child happy?,,1,The,child's,laughter,"echoed,",bringing,joy,to,the,playground.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.6428,space,0.3599,space,0.4088,space,1.3058,space,0.9242,space,0.5782,space,0.4872,space,0.3954,space,0.6082,y,0,1.3389,0,37,37,37,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45_1,inclusive_gender_they,1,9,she,Patricia is upset because she missed the bus earlier.,Is Patricia in a bad mood?,yes,1,Patricia,is,upset,because,she,missed,the,bus,earlier.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.7301,space,0.4695,space,0.4616,space,0.5086,space,0.4133,space,0.4554,space,0.4242,space,0.4769,space,0.506,y,0,1.5203,0,38,38,38,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43_1,inclusive_gender_they,1,9,she,Rose is content because she won an award earlier.,Is Rose happy?,yes,1,Rose,is,content,because,she,won,an,award,earlier.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,3.1863,space,0.8254,space,0.9592,space,0.661,space,0.4144,space,0.4562,space,0.4212,space,0.455,space,0.471,y,0,2.8936,0,39,39,39,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29_2,inclusive_gender_reflexive,1,9,themself,Kyle was cycling by themself on the trail yesterday.,Was Kyle on the trail?,yes,1,Kyle,was,cycling,by,themself,on,the,trail,yesterday.,INC_J_ADC_05,001,2023-07-20_08h45.10.584,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.4744,space,0.4805,space,0.8034,space,0.5245,space,0.5552,space,0.4092,space,0.4595,space,0.4754,space,0.6611,y,0,1.7195,0,40,40,40,1,,
