key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_15.keys,key_resp_15.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,base_sentence_number,version,experiment,list,numb_words,gender,sentence,question,answer,CorrAns,w1,w2,w3,w4,w5,w6,w7,w8,w9,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_16.keys,key_resp_16.rt,word1.keys,word1.rt,word2.keys,word2.rt,word3.keys,word3.rt,word4.keys,word4.rt,word5.keys,word5.rt,word6.keys,word6.rt,word7.keys,word7.rt,word8.keys,word8.rt,word9.keys,word9.rt,compquestion.keys,compquestion.corr,compquestion.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,endoftask.keys,endoftask.rt
space,7.0502,y,1.0438,space,7.5155,space,1.7912,space,0.6834,space,0.8928,space,1.0924,space,1.2073,space,0.5536,space,0.7254,space,1.3069,n,7.1992,0,0,0,0,1,NA,NA,practica,NA,NA,NA,Rita is uncomfortable because it is very hot outside.,Is it cold?,no,0,Rita,is,uncomfortable,because,it,is,very,hot,outside.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.382,space,0.4347,space,0.4229,space,0.3713,space,0.4222,space,0.4523,space,0.3849,space,0.6082,space,0.5226,n,3.5603,0,1,1,1,1,NA,NA,practica,NA,NA,NA,Peter was running by himself in the park yesterday.,Was Peter painting the wall?,no,0,Peter,was,running,by,himself,in,the,park,yesterday.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.9712,space,0.3102,space,0.3341,space,0.3058,space,0.4076,space,0.5893,space,0.4327,space,0.4864,space,0.4903,y,2.2679,0,2,2,2,1,NA,NA,practica,NA,NA,NA,Hannah is watching tv because she is really bored.,Is Hannah in front of a screen?,yes,1,Hannah,is,watching,tv,because,she,is,really,bored.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1_1,neutral_gender_someone,1,9,masculine,Someone called me but he stopped before I answered,Did the person try to communicate?,yes,1,Someone,called,me,but,he,stopped,before,I,answered.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,space,5.2554,space,0.6104,space,0.3605,space,0.3434,space,0.321,space,0.3268,space,0.3585,space,1.6385,space,0.3755,space,0.3092,y,0,3.5539,0,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21_2,inclusive_gender_reflexive,1,9,themself,Jack was cooking by themself in the kitchen yesterday.,Was Jack in the kitchen?,yes,1,Jack,was,cooking,by,themself,in,the,kitchen,yesterday.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.787,space,0.4061,space,1.1914,space,0.4677,space,0.4609,space,3.023,space,0.3714,space,0.3565,space,0.5234,y,0,1.9729,0,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,NA,filler,1and2,9,NA,The aroma of freshly brewed coffee filled the room.,Was the smell nice?,,1,The,aroma,of,freshly,brewed,coffee,filled,the,room.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.3426,space,0.6574,space,0.3798,space,0.3178,space,0.6985,space,0.5406,space,0.3888,space,0.3895,space,0.3393,y,0,3.0899,0,2,2,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22_1,inclusive_gender_reflexive,1,9,himself,Max was painting by himself in the studio earlier.,Was Max watching tv?,no,0,Max,was,painting,by,himself,in,the,studio,earlier.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.8578,space,0.3756,space,0.3389,space,1.713,space,1.4267,space,0.9403,space,0.44,space,0.4249,space,0.3893,n,0,1.3414,0,3,3,3,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33_1,inclusive_gender_they,1,9,she,Sara is happy because she found new friends yesterday.,Is Sara in a good mood?,yes,1,Sara,is,happy,because,she,found,new,friends,yesterday.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,1.0917,space,0.4008,space,0.3889,space,0.3768,space,0.3558,space,0.3565,space,0.4784,space,0.4389,space,0.3906,y,0,1.4696,0,4,4,4,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31_2,inclusive_gender_reflexive,1,9,themself,Troy was singing by themself in the shower yesterday.,Was Troy singing?,yes,1,Troy,was,singing,by,themself,in,the,shower,yesterday.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.3395,space,0.4711,space,1.1245,space,0.4778,space,0.4375,space,1.8582,space,1.1262,space,0.7059,space,0.5973,y,0,1.3229,0,5,5,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,NA,filler,1and2,9,NA,"Soft raindrops tapped gently, creating a rhythmic melody outside.",Was it a sunny day?,,0,Soft,raindrops,tapped,"gently,",creating,a,rhythmic,melody,outside.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.8377,space,1.1324,space,0.4443,space,0.7547,space,0.3964,space,0.4933,space,1.4064,space,0.9263,space,1.2094,n,0,2.0564,0,6,6,6,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34_2,inclusive_gender_they,1,9,they,Mary is sad because they lost the dog earlier.,Did mary lose something?,no,0,Mary,is,sad,because,they,lost,the,dog,earlier.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.7043,space,0.4389,space,0.4394,space,0.3494,space,0.488,space,0.4097,space,0.4734,space,0.4747,space,0.4253,y,0,2.3132,0,7,7,7,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10_2,neutral_gender_someone,1,9,neutral,Someone shushed me but they stopped before I noticed.,Was the person happy to hear a voice?,no,0,Someone,shushed,me,but,they,stopped,before,I,noticed.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.4906,space,0.3915,space,1.3601,space,0.4875,space,0.5258,space,1.2609,space,0.3936,space,0.4064,space,0.3733,n,0,10.4928,0,8,8,8,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,NA,filler,1and2,9,NA,"They went on an exciting trip, embracing their destiny.",Did they stay home?,,0,They,went,on,an,exciting,"trip,",embracing,their,destiny.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.6093,space,0.4751,space,0.3591,space,0.3765,space,0.457,space,0.5702,space,0.7908,space,0.522,space,0.5217,n,0,1.2095,0,9,9,9,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23_2,inclusive_gender_reflexive,1,9,themself,Ben was dancing by themself in the kitchen yesterday.,Was Ben in the kitchen?,yes,1,Ben,was,dancing,by,themself,in,the,kitchen,yesterday.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.3378,space,0.4109,space,0.4928,space,0.8891,space,0.3915,space,3.0017,space,0.3688,space,0.4887,space,0.5097,y,0,1.4539,0,10,10,10,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9_1,neutral_gender_someone,1,9,masculine,Someone helped me but he left before I finished.,Did the person offer some help?,yes,1,Someone,helped,me,but,he,left,before,I,finished.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.2911,space,0.6858,space,0.7569,space,0.5719,space,0.639,space,0.4944,space,0.4946,space,0.5163,space,2.2835,y,0,4.222,0,11,11,11,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12_2,neutral_gender_someone,1,9,neutral,Someone scared me and they ran after I screamed.,Did the person write a note?,no,0,Someone,scared,me,and,they,ran,after,I,screamed.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.6161,space,1.8556,space,0.543,space,0.7103,space,0.6901,space,4.6632,space,0.3886,space,0.7496,space,0.4757,n,0,1.662,0,12,12,12,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,NA,filler,1and2,9,NA,"He smiled warmly, extending a hand in friendly greeting.",Did someone fall?,,0,He,smiled,"warmly,",extending,a,hand,in,friendly,greeting.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.7075,space,0.4093,space,0.4092,space,0.5915,space,0.4703,space,0.4071,space,0.423,space,0.4392,space,0.7907,n,0,1.1366,0,13,13,13,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36_2,inclusive_gender_they,1,9,they,Helen is anxious because they dread the presentation earlier.,Did Helen's presentation go well?,no,0,Helen,is,anxious,because,they,dread,the,presentation,earlier.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.3588,space,0.4084,space,0.4999,space,1.6787,space,0.7247,space,1.6355,space,0.4734,space,0.4235,space,0.6057,n,0,4.6595,0,14,14,14,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16_2,neutral_gender_someone,1,9,neutral,Someone passed me and they sped before I noticed.,Was everybody going slow?,no,0,Someone,passed,me,and,they,sped,before,I,noticed.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.672,space,0.7409,space,0.5229,space,0.3566,space,0.3102,space,0.316,space,0.4811,space,0.8796,space,0.7055,y,0,5.6719,0,15,15,15,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20_1,inclusive_gender_reflexive,1,9,himself,Mike was jogging by himself in the park earlier.,Was Mike sleeping?,no,0,Mike,was,jogging,by,himself,in,the,park,earlier.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.4218,space,0.5,space,0.9388,space,0.6711,space,0.3878,space,0.7502,space,4.9681,space,2.6792,space,0.5138,n,0,1.2762,0,16,16,16,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,NA,filler,1and2,9,NA,"She danced a lot, her movements resembling pure poetry.",Was it an unpleasant dance?,,0,She,danced,a,"lot,",her,movements,resembling,pure,poetry.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.8128,space,0.7077,space,0.5402,space,0.4505,space,0.3727,space,0.5201,space,0.8554,space,0.6268,space,0.4583,n,0,2.4152,0,17,17,17,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4_2,neutral_gender_someone,1,9,neutral,Someone punched me but they ran before I noticed.,Was everybody involved peaceful?,no,0,Someone,punched,me,but,they,ran,before,I,noticed.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.5806,space,0.6798,space,0.4031,space,0.3641,space,0.3002,space,0.6166,space,0.3857,space,0.4289,space,0.4021,n,0,2.6035,0,18,18,18,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7_1,neutral_gender_someone,1,9,masculine,Someone threatened me but he ran before I reacted.,Was there a threat?,yes,1,Someone,threatened,me,but,he,ran,before,I,reacted.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.4577,space,0.8736,space,0.636,space,0.4056,space,0.4728,space,0.4111,space,0.3828,space,0.5343,space,1.3104,y,0,2.1338,0,19,19,19,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19_2,inclusive_gender_reflexive,1,9,themself,James was studying by themself in the library yesterday.,Was James at the library?,yes,1,James,was,studying,by,themself,in,the,library,yesterday.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.3542,space,1.3405,space,0.7698,space,0.481,space,1.4941,space,0.6409,space,0.7994,space,2.1185,space,0.7508,y,0,2.7644,0,20,20,20,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11_1,neutral_gender_someone,1,9,masculine,Someone pushed me but he tripped after I fell.,Was there any sort of physical violence?,yes,1,Someone,pushed,me,but,he,tripped,after,I,fell.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,1.5299,space,0.7386,space,0.4842,space,0.4528,space,1.0783,space,7.376,space,1.3389,space,0.4724,space,0.327,y,0,3.3014,0,21,21,21,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37_1,inclusive_gender_they,1,9,she,Emily is grateful because she got nice gifts yesterday.,Did Emily get presents?,yes,1,Emily,is,grateful,because,she,got,nice,gifts,yesterday.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,1.2234,space,0.7066,space,1.5104,space,0.4073,space,0.8901,space,0.7244,space,0.9388,space,1.7403,space,0.7768,y,0,1.4397,0,22,22,22,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32_1,inclusive_gender_reflexive,1,9,himself,Hugh was stretching by himself in the garden earlier.,Was Hugh in the attic?,no,0,Hugh,was,stretching,by,himself,in,the,garden,earlier.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,5.1752,space,0.6575,space,4.7084,space,0.464,space,0.3229,space,0.3919,space,0.2794,space,0.3486,space,0.4286,n,0,3.7242,0,23,23,23,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44_2,inclusive_gender_they,1,9,they,Alice is hopeful because they had good luck yesterday.,Is Alice sad?,no,0,Alice,is,hopeful,because,they,had,good,luck,yesterday.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.5807,space,0.3905,space,0.2302,space,0.8039,space,0.3573,space,0.3236,space,0.4309,space,0.3905,space,0.4437,n,0,1.69,0,24,24,24,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3_1,neutral_gender_someone,1,9,masculine,Someone hit me but he ran before I reacted,Was there physical violence?,yes,1,Someone,hit,me,but,he,ran,before,I,reacted.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.5827,space,0.4211,space,0.3395,space,0.4254,space,0.2858,space,0.2418,space,0.4579,space,0.2218,space,0.4759,y,0,1.4581,0,25,25,25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39_1,inclusive_gender_they,1,9,she,Judy is confused because she lost the map ealier.,Did Judy lose something?,yes,1,Judy,is,confused,because,she,lost,the,map,ealier.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.7542,space,0.3755,space,0.3087,space,0.6888,space,0.3724,space,0.2636,space,0.3545,space,0.358,space,0.3743,y,0,1.4299,0,26,26,26,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18_1,inclusive_gender_reflexive,1,9,himself,Luke was reading by himself on the couch earlier.,Was Luke painting?,no,0,Luke,was,reading,by,himself,on,the,couch,earlier.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.5194,space,0.3753,space,0.3913,space,0.9912,space,0.3588,space,0.3568,space,0.3161,space,0.3537,space,0.6222,n,0,1.2051,0,27,27,27,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14_2,neutral_gender_someone,1,9,neutral,Someone photographed me but they quit before I spoke.,Did someone take pictures?,yes,0,Someone,photographed,me,but,they,quit,before,I,spoke.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.3214,space,1.2452,space,0.4384,space,0.39,space,0.4104,space,0.5405,space,0.8392,space,0.4086,space,0.376,y,0,1.4551,0,28,28,28,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30_1,inclusive_gender_reflexive,1,9,himself,Scott was drinking by himself at the bar earlier.,Was Scott at his apartment?,no,0,Scott,was,drinking,by,himself,at,the,bar,earlier.,INC_J_BEG_012,001,2023-07-20_08h48.13.203,spr_english_2023_list1,2021.1.1,Win32,60.0024001,,,space,0.3865,space,0.4072,space,0.3411,space,0.3222,space,0.2951,space,0.3234,space,0.3065,space,0.3069,space,0.3421,n,0,1.4552,0,29,29,29,1,,
